gene_symbol,Bpifa3
mouse_strain,C57BL
pvalue,0.9967674
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,4166zduve1v9105
parameter_id,MGP_MLN_074_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
