gene_symbol,Gfi1b
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
pvalue,0.7451504
analysis_id,w8e6co7sd2q1673
mouse_strain,C57BL
parameter_name,Forebrain
