parameter_name,Humerus
mouse_strain,C57BL
pvalue,0.5983078
gene_symbol,Mecom
analysis_id,g954153bckv7pd9
parameter_id,IMPC_XRY_021_001
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
