analysis_id,ja707x8gb4k95qb
pvalue,0.3748379
mouse_life_stage,E12.5
parameter_id,ESLIM_014_001_008
parameter_name,Cornea vascularisation
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
