gene_symbol,Etfdh
parameter_name,Effector Treg cells - % of Treg
analysis_id,8x2cw7jk5k058hg
parameter_id,MGP_MLN_009_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7422677
gene_accession_id,MGI:106100
