mouse_strain,B6J
pvalue,0.3903415
gene_symbol,Nr0b2
mouse_life_stage,Early adult
analysis_id,pf24a6h12u11o2x
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:1346344
