gene_symbol,AU040320
analysis_id,595vbayi1i86u9c
parameter_name,Lens Opacity
pvalue,0.4535992
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
