analysis_id,wv4y974z70x4pc2
pvalue,0.5372344
gene_symbol,Col6a3
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:88461
mouse_strain,C57BL
parameter_name,Triglycerides
mouse_life_stage,Early adult
