parameter_name,Retinal Blood Vessels Structure
pvalue,0.2812645
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
parameter_id,IMPC_EYE_025_001
analysis_id,3994wopqg2t19e1
gene_accession_id,MGI:109356
mouse_strain,C57BL
