parameter_id,JAX_PLC_002_001
gene_symbol,Frmpd1
pvalue,0.4341901
parameter_name,HDL cholesterol
analysis_id,3d10t5h899lhx6a
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
