parameter_name,Body weight
analysis_id,14a4oyyw1ll0ira
gene_symbol,Hspa5
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8286483
parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:95835
