analysis_id,o5yrg45583lnui9
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_GEO_064_001
parameter_name,Edema
pvalue,0.9086066
gene_symbol,Steap3
mouse_life_stage,Early adult
