parameter_name,Bone Mineral Content
mouse_life_stage,Early adult
gene_symbol,Golm2
mouse_strain,C57BL
pvalue,0.8719376
gene_accession_id,MGI:2443129
parameter_id,ESLIM_005_001_005
analysis_id,r4nm5z8q0t50kqg
