analysis_id,0x0o22iq1au1h9w
pvalue,0.08134744
parameter_name,Neural tube closure
mouse_strain,C57BL
gene_accession_id,MGI:1274787
parameter_id,IMPC_GEL_027_001
gene_symbol,Trdmt1
mouse_life_stage,Early adult
