parameter_name,Mean platelet volume
gene_accession_id,MGI:1917810
parameter_id,IMPC_HEM_019_001
mouse_strain,C57BL
gene_symbol,Wars2
analysis_id,m8338was4a255v9
pvalue,0.9659318
mouse_life_stage,E12.5
