parameter_name,Ulna
gene_symbol,Bcs1l
mouse_strain,C57BL
analysis_id,c42706gt5wk8x6e
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
pvalue,0.8040583
parameter_id,IMPC_XRY_023_001
