parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:1929866
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4etws91v9w993xa
pvalue,0.4366188
gene_symbol,Rgs20
