analysis_id,b61641d3u8cb77m
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.49305
mouse_life_stage,E15.5
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:88174
gene_symbol,BMI1
