gene_symbol,Ilkap
mouse_life_stage,Early adult
gene_accession_id,MGI:1914694
parameter_id,IMPC_XRY_022_001
pvalue,0.8568333
mouse_strain,C57BL
analysis_id,4wx9u7i60ctiv2g
parameter_name,Radius
