gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
pvalue,0.697456
analysis_id,q6w3695385966sx
mouse_life_stage,Early adult
mouse_strain,C57BL
