analysis_id,jjkpp708iahkg17
mouse_life_stage,Early adult
pvalue,0.4879455
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
mouse_strain,C57BL
parameter_name,Eye
