gene_symbol,Mgst2
parameter_name,Cornea
analysis_id,00n280n5279wiuc
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8831984
parameter_id,IMPC_EYE_007_001
