analysis_id,d5u4ulmoa1im7bi
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
parameter_name,B2B Cells
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
pvalue,0.6048143
