analysis_id,31qt923fv390uv2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1309468
parameter_id,MGP_IMM_079_001
gene_symbol,Casq1
pvalue,0.5328285
parameter_name,KLRG1+ Treg cells - % of CD45+
