parameter_name,Center resting time
gene_accession_id,MGI:1914556
analysis_id,ved953d0176733a
mouse_strain,C57BL
gene_symbol,Zc2hc1a
pvalue,0.7585733
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
