parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
analysis_id,256zn4sc90oh13u
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
pvalue,0.6377908
mouse_strain,C57BL
