analysis_id,q89b84f5vzui2cy
parameter_id,MGP_PBI_003_001
pvalue,0.3936782
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,129SV
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_life_stage,Early adult
