parameter_name,% Freezing duration habituation-1
analysis_id,045x0zce1of0z27
gene_accession_id,MGI:1916220
mouse_strain,C57BL
gene_symbol,Dcaf12
parameter_id,ICS_FEA_016_001
pvalue,0.088738
mouse_life_stage,Early adult
