analysis_id,bp7h120j2fel26r
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Number of centre entries
gene_symbol,Ubxn11
parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:1914836
pvalue,0.588962
