parameter_id,HMGULA_HWT_008_001
mouse_strain,129SV
gene_accession_id,MGI:99605
analysis_id,2o6we159u8834dp
parameter_name,Heart weight
mouse_life_stage,Early adult
pvalue,0.7500948
gene_symbol,Cntfr
