gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
parameter_name,KLRG1+ mature NK cell percentage
analysis_id,824h47ry1x02i5c
pvalue,0.7916003
mouse_strain,C56BL
gene_accession_id,MGI:1914556
