gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
pvalue,0.1344552
mouse_strain,C57BL
parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
analysis_id,f495b415q943wd6
mouse_life_stage,Early adult
