analysis_id,0m4nrkvw7ud68zq
pvalue,0.9761923
parameter_name,Right kidney weight
mouse_life_stage,Early adult
gene_symbol,Lcn2
gene_accession_id,MGI:96757
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
