analysis_id,s608p5c78u4i8z4
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Total protein
pvalue,0.6943766
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
