parameter_name,Distance travelled - total
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
analysis_id,r7jfsj2uw3vqqjo
mouse_life_stage,Early adult
pvalue,0.9687725
parameter_id,JAX_OFD_020_001
mouse_strain,C57BL
