gene_symbol,Uckl1
analysis_id,mjazb0mt79832i7
pvalue,0.6804533
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,Early adult
gene_accession_id,MGI:1915806
mouse_strain,C57BL
parameter_id,MGP_IMM_010_001
