mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.8278488
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1918025
analysis_id,73k26r2f9a10at6
parameter_id,MGP_IMM_027_001
