analysis_id,lcm12tm6551f7zx
mouse_strain,C57BL
parameter_name,Red blood cell count
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.5804311
gene_symbol,Arpc2
parameter_id,ESLIM_016_001_002
