analysis_id,9dib93m008ivso3
pvalue,0.7371671
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
parameter_id,IMPC_ECG_010_001
mouse_strain,C57BL
parameter_name,HRV
mouse_life_stage,Early adult
