gene_symbol,Gja10
gene_accession_id,MGI:1339969
analysis_id,y9s18am549b8p61
parameter_id,IMPC_IMM_006_001
pvalue,0.2888274
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Others
