gene_symbol,Arnt
pvalue,0.6711689
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
analysis_id,y1k9e0320u0r7px
parameter_name,Others
