gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,MGP_PBI_011_001
analysis_id,32904451klft9l8
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.7029931
