analysis_id,0yaykcpf85605v7
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
pvalue,0.5243055
mouse_strain,C57BL
