analysis_id,wnmj735jq022n31
gene_accession_id,MGI:88461
pvalue,0.147043
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_id,MGP_IMM_089_001
