analysis_id,6d7ao2rghj7a9q5
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
parameter_id,JAXLA_OFD_020_001
mouse_strain,C57BL
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
pvalue,0.7355314
