gene_symbol,Rap2b
mouse_life_stage,Early adult
pvalue,0.2985027
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
analysis_id,lpk9q529bt7q008
parameter_name,Chloride
gene_accession_id,MGI:1921262
