parameter_name,Whole arena average speed
mouse_life_stage,Early adult
analysis_id,5064k369h60e315
mouse_strain,C57BL
parameter_id,ESLIM_007_001_005
pvalue,0.09099245
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
