analysis_id,k21s7k11g8nl9ed
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5878803
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,Number of centre entries
parameter_id,ESLIM_007_001_015
