analysis_id,ho584218k4172pr
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
gene_symbol,Ddx27
parameter_id,IMPC_CSD_028_001
mouse_strain,129SV
parameter_name,Snout size
pvalue,0.4638113
