parameter_id,JAXLA_HBD_001_001
pvalue,0.4969681
gene_accession_id,MGI:1921688
parameter_name,Total holepokes
gene_symbol,Clvs1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,6nvm92cezlhr71d
