analysis_id,34347p2w486ji32
gene_symbol,Tnfsf8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_011_001
pvalue,0.7603364
gene_accession_id,MGI:88328
parameter_name,Iron
