analysis_id,7y60963h3qek6rp
parameter_id,IMPC_CBC_014_001
mouse_strain,C57BL
pvalue,0.4656142
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
