gene_symbol,Pglyrp3
pvalue,0.5527199
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,885w2t6l9q5grqi
gene_accession_id,MGI:2685266
