parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Late adult
analysis_id,n29i581o7v17f3q
parameter_name,Tibia length
mouse_strain,C57BL
gene_symbol,Secisbp2l
pvalue,0.9119263
gene_accession_id,MGI:1917604
