gene_symbol,Uckl1
analysis_id,8w5a26089rf9a20
mouse_life_stage,Early adult
pvalue,0.6649626
parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:1915806
mouse_strain,C57BL
