gene_symbol,Cpa3
mouse_life_stage,Early adult
pvalue,0.8392423
mouse_strain,C57BL
analysis_id,556l8ja27av7vcr
parameter_name,Eye
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:88479
