analysis_id,9f2s14xf7e543l9
parameter_id,IMPC_DXA_007_001
pvalue,0.1261592
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,BMC/Body weight
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
