gene_symbol,Kif24
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
analysis_id,1x73j978i7b053a
pvalue,0.1065496
