analysis_id,510o78yp59v7g3p
gene_symbol,Cds2
mouse_strain,C57BL
pvalue,0.1459907
parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
parameter_id,IMPC_IMM_047_001
