parameter_name,Dark side time spent
gene_accession_id,MGI:1913405
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
gene_symbol,Ufc1
analysis_id,bc267676668k855
pvalue,0.2125206
mouse_strain,C57BL
