gene_symbol,Stk35
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
analysis_id,vu0m2fv352e5qso
pvalue,0.4296642
