gene_symbol,Dhdds
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
mouse_strain,C57BL
analysis_id,51s7pd5f7esv8td
pvalue,0.4857893
parameter_name,Resting CD8+ T cells - % of CD8+
