analysis_id,v39w76851aszg64
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
pvalue,0.4511785
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_name,Zygomatic bone
