gene_symbol,Dnaaf9
parameter_id,IMPC_HEM_039_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
pvalue,0.2147739
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
analysis_id,ro9o95dsa17r9t7
